Country,Score
Japan,1
Brazil,0.366666666666667
Turkey,0.296296296296296
Paraguay,0.208333333333333
Thailand,0.179012345679012
Chile,0.155555555555556
Indonesia,0.155555555555556
Peru,0.155555555555556
Argentina,0.136363636363636
Bolivia,0.136363636363636
Colombia,0.136363636363636
Dominician Republic,0.136363636363636
Ecuador,0.136363636363636
Guatemala,0.136363636363636
Italy,0.136363636363636
Uruguay,0.136363636363636
Costa Rica,0.12037037037037
Spain,0.12037037037037
Vietnam,0.106837606837607
France,0.106837606837607
Honduras,0.0952380952380952
Taiwan,0.0763888888888889
Sweden,0.0686274509803922
Mexico,0.0686274509803922
Poland,0.0686274509803922
Austria,0.0617283950617284
Germany,0.0617283950617284
Israel,0.044973544973545
Netherlands,0.0404040404040404
Portugal,0.0404040404040404
Finland,0.036231884057971
Norway,0.0324074074074074
Malta,0.0324074074074074
Denmark,0.0256410256410256
Czech Republic,0.0226337448559671
Greece,0.0226337448559671
Belgium,0.0198412698412698
Malaysia,0.0198412698412698
Hong Kong,0.0172413793103448
Singapore,0.0148148148148148
Ireland,0.0125448028673835
Hungary,0.0104166666666667
Switzerland,0.0104166666666667
United Kingdom,0.0104166666666667
Australia,0.00841750841750841
Iceland,0.00841750841750841
Bulgaria,0.00653594771241829
New Zeland,0.00653594771241829
United States,0.00476190476190476
Canada,0
